127.0.0.1 - - [23/Aug/2023:10:13:22 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:13:23 +0900] "GET /JspMiniProject/layout/info.jsp HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:13:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:26:32 +0900] "GET /JspMiniProject/layout/main.jsp HTTP/1.1" 200 655
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:26:32 +0900] "GET /JspMiniProject/layout/cloud/c2.webp HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:26:32 +0900] "GET /JspMiniProject/layout/cloud/c1.webp HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:26:32 +0900] "GET /JspMiniProject/layout/cloud/c4.webp HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:26:32 +0900] "GET /JspMiniProject/layout/cloud/c3.webp HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:27:27 +0900] "GET /JspMiniProject/layout/main.jsp HTTP/1.1" 200 679
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:27:27 +0900] "GET /JspMiniProject/layout/image/cloud/c1.webp HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:27:27 +0900] "GET /JspMiniProject/layout/image/cloud/c2.webp HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:27:27 +0900] "GET /JspMiniProject/layout/image/cloud/c3.webp HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:27:27 +0900] "GET /JspMiniProject/layout/image/cloud/c4.webp HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:48:01 +0900] "GET /JspMiniProject/layout/main.jsp HTTP/1.1" 200 679
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:48:01 +0900] "GET /JspMiniProject/layout/image/cloud/c2.webp HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:48:01 +0900] "GET /JspMiniProject/layout/image/cloud/c1.webp HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:48:01 +0900] "GET /JspMiniProject/layout/image/cloud/c4.webp HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:48:01 +0900] "GET /JspMiniProject/layout/image/cloud/c3.webp HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:48:37 +0900] "GET /JspMiniProject/layout/main.jsp HTTP/1.1" 200 679
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:48:37 +0900] "GET /JspMiniProject/layout/image/cloud/c2.webp HTTP/1.1" 404 864
